School,District,Median Value,Tier
McKinley Elementary School,Beaverton,12,1st Tier
Barnes Elementary School,Beaverton,9,1st Tier
Aloha-Huber Park School,Beaverton,6,1st Tier
Elmonica Elementary School,Beaverton,6,1st Tier
Beaver Acres Elementary School,Beaverton,5.5,1st Tier
Kinnaman Elementary School,Beaverton,5.5,1st Tier
Lenox Elementary School,Hillsboro,5,1st Tier
Fir Grove Elementary School,Beaverton,4,1st Tier
Nancy Ryles Elementary School,Beaverton,4,1st Tier
Metzger Elementary School,Tigard-Tualatin,4,1st Tier
McKay Elementary School,Beaverton,3.5,2nd Tier
Oak Hills Elementary School,Beaverton,3.5,1st Tier
Hazeldale Elementary School,Beaverton,3,2nd Tier
Charles F Tigard Elementary School,Tigard-Tualatin,3,2nd Tier
Errol Hassell Elementary School,Beaverton,2.5,2nd Tier
Greenway Elementary School,Beaverton,2.5,2nd Tier
Springville K-8 School,Beaverton,2.5,2nd Tier
Vose Elementary School,Beaverton,2.5,2nd Tier
Chehalem Elementary School,Beaverton,2,3rd Tier
Cooper Mountain Elementary School,Beaverton,2,3rd Tier
Raleigh Hills Elementary School,Beaverton,2,3rd Tier
Raleigh Park Elementary School,Beaverton,2,3rd Tier
Ridgewood Elementary School,Beaverton,2,3rd Tier
Imlay Elementary School,Hillsboro,2,3rd Tier
Tobias Elementary School,Hillsboro,2,2nd Tier
West Union Elementary School,Hillsboro,2,2nd Tier
Durham Elementary School,Tigard-Tualatin,2,2nd Tier
James Templeton Elementary School,Tigard-Tualatin,2,2nd Tier
Sexton Mountain Elementary School,Beaverton,1.5,4th Tier
William Walker Elementary School,Beaverton,1.5,4th Tier
Mooberry Elementary School,Hillsboro,1.5,4th Tier
North Plains Elementary School,Hillsboro,1.5,3rd Tier
Quatama Elementary School,Hillsboro,1.5,3rd Tier
Reedville Elementary School,Hillsboro,1.5,3rd Tier
Alberta Rider Elementary School,Tigard-Tualatin,1.5,3rd Tier
Tualatin Elementary School,Tigard-Tualatin,1.5,3rd Tier
Cedar Mill Elementary School,Beaverton,1,4th Tier
Hiteon Elementary School,Beaverton,1,4th Tier
Scholls Heights Elementary School,Beaverton,1,4th Tier
Harvey Clarke Elementary School,Forest Grove,1,4th Tier
Joseph Gale Elementary School,Forest Grove,1,4th Tier
Lincoln Street Elementary School,Hillsboro,1,4th Tier
Witch Hazel Elementary School,Hillsboro,1,4th Tier
Edward Byrom Elementary School,Tigard-Tualatin,1,4th Tier
Bethany Elementary School,Beaverton,0.5,Below Median
Brookwood Elementary School,Hillsboro,0.5,Below Median
Butternut Creek Elementary School,Hillsboro,0.5,Below Median
Farmington View Elementary School,Hillsboro,0.5,Below Median
Free Orchards Elementary School,Hillsboro,0.5,Below Median
Indian Hills Elementary School,Hillsboro,0.5,Below Median
Jackson Elementary School,Hillsboro,0.5,Below Median
Ladd Acres Elementary School,Hillsboro,0.5,Below Median
Minter Bridge Elementary School,Hillsboro,0.5,Below Median
Orenco Elementary School,Hillsboro,0.5,Below Median
W L Henry Elementary School,Hillsboro,0.5,Below Median
W Verne McKinney Elementary School,Hillsboro,0.5,Below Median
Edy Ridge Elementary School,Sherwood,0.5,Below Median
J Clyde Hopkins Elementary School,Sherwood,0.5,Below Median
Middleton Elementary School,Sherwood,0.5,Below Median
Bridgeport Elementary School,Tigard-Tualatin,0.5,Below Median
Deer Creek Elementary School,Tigard-Tualatin,0.5,Below Median
Mary Woodward Elementary School,Tigard-Tualatin,0.5,Below Median
Banks Elementary School,Banks,0,Below Median
Bonny Slope Elementary School,Beaverton,0,Below Median
Findley Elementary,Beaverton,0,Below Median
Jacob Wismer Elementary School,Beaverton,0,Below Median
Montclair Elementary School,Beaverton,0,Below Median
Rock Creek Elementary School,Beaverton,0,Below Median
Terra Linda Elementary School,Beaverton,0,Below Median
West Tualatin View Elementary School,Beaverton,0,Below Median
Cornelius Elementary School,Forest Grove,0,Below Median
Dilley Elementary School,Forest Grove,0,Below Median
Echo Shaw Elementary School,Forest Grove,0,Below Median
Fern Hill Elementary School,Forest Grove,0,Below Median
Gaston Elementary School,Gaston,0,Below Median
Eastwood Elementary School,Hillsboro,0,Below Median
Groner Elementary School,Hillsboro,0,Below Median
Paul L Patterson Elementary School,Hillsboro,0,Below Median
Rosedale Elementary School,Hillsboro,0,Below Median
